Назва,,На зерно та зелений корм
Одеська область,827957.23,га
м.Одеса,,
м.Балта,15899.12,
м.Білгород-Дністровський,6046.73,827957.23
м.Біляївка,2933.87,к
м.Ізмаїл,,15899.12
Ананьївський,22598.17,6046.73
Арцизький,47539.87,2933.87
Балтський,7488.43,к
Білгород-Дністровський,48609.2,
Біляївський,25090.64,22598.17
Березівський,36208.85,47539.87
Болградський,39790.18,7488.43
Великомихайлівський,42379.5,48609.2
Іванівський,35693.09,25090.64
Ізмаїльський,39169.18,36208.85
Кілійський,19834.94,39790.18
Кодимський,12720.82,42379.5
Лиманський,56547.96,35693.09
Подільський,19982.96,39169.18
Окнянський,28357.75,19834.94
Любашівський,20580.24,12720.82
Миколаївський,16773.68,56547.96
Овідіопольський,21584.4,19982.96
Роздільнянський,36756.97,28357.75
Ренійський,9661.55,20580.24
Савранський,8426.09,16773.68
Саратський,65448.89,21584.4
Тарутинський,57929.93,36756.97
Татарбунарський,31297.55,.55
Захарівський,13285.09,8426.09
Ширяївський,37478.73,65448.89
,57929.93
,31297.55
,13285.09
,37478.73
